Index,SegId,NVoxels,Volume_mm3,StructName,normMean,normStdDev,normMin,normMax,normRange
1,4,5742,5995.9,Left-Lateral-Ventricle,27.6614,14.9648,0.0000,102.0000,102.0000
2,5,258,292.4,Left-Inf-Lat-Vent,45.2093,13.6557,11.0000,77.0000,66.0000
3,7,12868,13558.7,Left-Cerebellum-White-Matter,85.3687,6.2109,22.0000,111.0000,89.0000
4,8,49589,49719.3,Left-Cerebellum-Cortex,61.1789,12.3630,3.0000,98.0000,95.0000
5,10,7013,6753.7,Left-Thalamus,86.5791,9.3623,30.0000,114.0000,84.0000
6,11,3109,3129.6,Left-Caudate,82.6565,8.2420,50.0000,107.0000,57.0000
7,12,4153,4166.1,Left-Putamen,89.0347,6.7220,47.0000,109.0000,62.0000
8,13,1849,1854.3,Left-Pallidum,100.7290,5.4647,45.0000,118.0000,73.0000
9,14,625,695.0,3rd-Ventricle,38.4880,13.8744,9.0000,76.0000,67.0000
10,15,1369,1488.8,4th-Ventricle,28.4134,11.7967,6.0000,69.0000,63.0000
11,16,20576,20463.6,Brain-Stem,83.0009,9.5070,19.0000,112.0000,93.0000
12,17,3673,3533.8,Left-Hippocampus,68.0259,8.9398,17.0000,101.0000,84.0000
13,18,1534,1525.1,Left-Amygdala,68.9759,7.9999,19.0000,101.0000,82.0000
14,24,676,705.1,CSF,41.7352,15.2055,10.0000,101.0000,91.0000
15,26,437,443.9,Left-Accumbens-area,78.5217,6.4433,53.0000,98.0000,45.0000
16,28,3936,3768.7,Left-VentralDC,90.7929,10.3147,28.0000,128.0000,100.0000
17,30,6,14.0,Left-vessel,64.8333,5.2313,56.0000,69.0000,13.0000
18,31,667,609.0,Left-choroid-plexus,49.7511,12.1715,18.0000,79.0000,61.0000
19,43,3641,3929.7,Right-Lateral-Ventricle,32.4326,15.4494,0.0000,84.0000,84.0000
20,44,262,296.9,Right-Inf-Lat-Vent,43.1260,17.0697,5.0000,86.0000,81.0000
21,46,13088,13755.7,Right-Cerebellum-White-Matter,83.9925,5.7796,25.0000,106.0000,81.0000
22,47,50073,50031.7,Right-Cerebellum-Cortex,61.9185,11.8026,6.0000,94.0000,88.0000
23,49,6997,6710.8,Right-Thalamus,86.7831,9.0596,29.0000,112.0000,83.0000
24,50,3146,3090.9,Right-Caudate,82.6281,8.4295,47.0000,104.0000,57.0000
25,51,4349,4351.8,Right-Putamen,89.7087,6.8716,51.0000,108.0000,57.0000
26,52,1565,1579.8,Right-Pallidum,103.7074,4.4850,72.0000,121.0000,49.0000
27,53,3941,3793.4,Right-Hippocampus,67.9711,8.4895,24.0000,107.0000,83.0000
28,54,1542,1545.4,Right-Amygdala,68.6206,7.1938,40.0000,100.0000,60.0000
29,58,585,558.3,Right-Accumbens-area,79.4325,5.6565,63.0000,95.0000,32.0000
30,60,3820,3595.8,Right-VentralDC,90.3024,11.0657,21.0000,121.0000,100.0000
31,62,12,18.4,Right-vessel,62.6667,5.9899,53.0000,70.0000,17.0000
32,63,745,675.7,Right-choroid-plexus,53.4685,12.5839,23.0000,84.0000,61.0000
33,72,0,0.0,5th-Ventricle,0.0000,0.0000,0.0000,0.0000,0.0000
34,77,870,826.1,WM-hypointensities,67.4402,15.6508,0.0000,98.0000,98.0000
35,78,0,0.0,Left-WM-hypointensities,0.0000,0.0000,0.0000,0.0000,0.0000
36,79,0,0.0,Right-WM-hypointensities,0.0000,0.0000,0.0000,0.0000,0.0000
37,80,0,0.0,non-WM-hypointensities,0.0000,0.0000,0.0000,0.0000,0.0000
38,81,0,0.0,Left-non-WM-hypointensities,0.0000,0.0000,0.0000,0.0000,0.0000
39,82,0,0.0,Right-non-WM-hypointensities,0.0000,0.0000,0.0000,0.0000,0.0000
40,85,162,165.9,Optic-Chiasm,85.9259,19.7218,32.0000,119.0000,87.0000
41,251,958,891.2,CC_Posterior,98.5355,15.7826,32.0000,121.0000,89.0000
42,252,449,400.8,CC_Mid_Posterior,97.1158,19.3508,23.0000,118.0000,95.0000
43,253,532,470.2,CC_Central,94.4831,20.6423,29.0000,123.0000,94.0000
44,254,471,431.6,CC_Mid_Anterior,104.6093,17.9711,41.0000,126.0000,85.0000
45,255,960,882.8,CC_Anterior,105.2885,16.7106,38.0000,127.0000,89.0000
