Index,SegId,NVoxels,Volume_mm3,StructName,normMean,normStdDev,normMin,normMax,normRange
1,4,23772,23917.7,Left-Lateral-Ventricle,23.8211,10.5026,0.0000,80.0000,80.0000
2,5,565,586.9,Left-Inf-Lat-Vent,37.8903,14.9248,4.0000,83.0000,79.0000
3,7,15416,16138.3,Left-Cerebellum-White-Matter,86.4281,6.0135,33.0000,107.0000,74.0000
4,8,64042,63901.9,Left-Cerebellum-Cortex,64.4437,11.3128,4.0000,99.0000,95.0000
5,10,6612,6342.8,Left-Thalamus,86.5786,9.9590,13.0000,119.0000,106.0000
6,11,3123,3088.9,Left-Caudate,82.1873,9.0146,44.0000,111.0000,67.0000
7,12,4927,4907.9,Left-Putamen,86.6710,6.2634,59.0000,107.0000,48.0000
8,13,2061,2057.1,Left-Pallidum,100.2945,5.4246,73.0000,127.0000,54.0000
9,14,2387,2492.7,3rd-Ventricle,30.6950,9.9594,9.0000,70.0000,61.0000
10,15,2411,2527.6,4th-Ventricle,29.4206,11.0444,10.0000,73.0000,63.0000
11,16,23071,22762.1,Brain-Stem,82.5319,9.7423,21.0000,118.0000,97.0000
12,17,4046,3870.9,Left-Hippocampus,66.8529,9.3081,12.0000,101.0000,89.0000
13,18,1333,1332.2,Left-Amygdala,69.6722,6.4447,33.0000,90.0000,57.0000
14,24,1463,1338.7,CSF,41.2761,12.9765,9.0000,94.0000,85.0000
15,26,351,342.2,Left-Accumbens-area,81.2194,4.5192,56.0000,95.0000,39.0000
16,28,4386,4224.1,Left-VentralDC,91.8830,11.0267,25.0000,120.0000,95.0000
17,30,5,13.0,Left-vessel,66.0000,3.1623,62.0000,70.0000,8.0000
18,31,803,759.9,Left-choroid-plexus,46.3836,11.6615,20.0000,84.0000,64.0000
19,43,17555,17556.5,Right-Lateral-Ventricle,25.7664,11.2118,2.0000,81.0000,79.0000
20,44,265,309.0,Right-Inf-Lat-Vent,41.2000,13.3050,12.0000,75.0000,63.0000
21,46,15007,15895.6,Right-Cerebellum-White-Matter,85.6194,5.7215,27.0000,108.0000,81.0000
22,47,65099,64967.9,Right-Cerebellum-Cortex,64.2279,11.3689,7.0000,97.0000,90.0000
23,49,6387,6055.2,Right-Thalamus,85.0731,10.6636,17.0000,112.0000,95.0000
24,50,3258,3221.0,Right-Caudate,80.4076,8.3820,44.0000,101.0000,57.0000
25,51,4864,4895.3,Right-Putamen,87.9044,6.0711,57.0000,107.0000,50.0000
26,52,2015,1983.8,Right-Pallidum,102.6531,4.6713,83.0000,119.0000,36.0000
27,53,4292,4155.7,Right-Hippocampus,67.6883,8.4041,21.0000,98.0000,77.0000
28,54,1550,1577.2,Right-Amygdala,70.8955,6.1590,47.0000,96.0000,49.0000
29,58,488,461.0,Right-Accumbens-area,77.7131,4.9086,52.0000,91.0000,39.0000
30,60,4291,4075.4,Right-VentralDC,90.3333,11.4988,25.0000,125.0000,100.0000
31,62,15,26.2,Right-vessel,64.5333,5.7180,50.0000,70.0000,20.0000
32,63,730,676.0,Right-choroid-plexus,48.5041,11.7267,19.0000,93.0000,74.0000
33,72,0,0.0,5th-Ventricle,0.0000,0.0000,0.0000,0.0000,0.0000
34,77,5835,6149.0,WM-hypointensities,77.2596,10.4575,12.0000,105.0000,93.0000
35,78,0,0.0,Left-WM-hypointensities,0.0000,0.0000,0.0000,0.0000,0.0000
36,79,0,0.0,Right-WM-hypointensities,0.0000,0.0000,0.0000,0.0000,0.0000
37,80,0,0.0,non-WM-hypointensities,0.0000,0.0000,0.0000,0.0000,0.0000
38,81,0,0.0,Left-non-WM-hypointensities,0.0000,0.0000,0.0000,0.0000,0.0000
39,82,0,0.0,Right-non-WM-hypointensities,0.0000,0.0000,0.0000,0.0000,0.0000
40,85,250,243.7,Optic-Chiasm,85.2120,20.3361,38.0000,128.0000,90.0000
41,251,1216,1118.5,CC_Posterior,98.0526,20.2671,15.0000,124.0000,109.0000
42,252,498,417.7,CC_Mid_Posterior,88.1627,23.9956,35.0000,120.0000,85.0000
43,253,498,424.2,CC_Central,94.1185,25.8306,24.0000,125.0000,101.0000
44,254,429,368.8,CC_Mid_Anterior,98.7296,23.3522,36.0000,128.0000,92.0000
45,255,847,782.5,CC_Anterior,104.8701,20.1550,17.0000,140.0000,123.0000
