Index,SegId,NVoxels,Volume_mm3,StructName,normMean,normStdDev,normMin,normMax,normRange
1,4,5881,6222.8,Left-Lateral-Ventricle,33.5208,15.1543,0.0000,91.0000,91.0000
2,5,260,301.5,Left-Inf-Lat-Vent,48.0577,13.9434,6.0000,79.0000,73.0000
3,7,15108,15548.6,Left-Cerebellum-White-Matter,86.5028,5.9717,32.0000,108.0000,76.0000
4,8,56382,56361.4,Left-Cerebellum-Cortex,68.1064,10.2263,6.0000,102.0000,96.0000
5,10,8333,8009.5,Left-Thalamus,86.4827,9.1219,29.0000,113.0000,84.0000
6,11,3589,3528.6,Left-Caudate,83.0059,7.9729,45.0000,103.0000,58.0000
7,12,5263,5300.3,Left-Putamen,91.0477,6.2904,45.0000,112.0000,67.0000
8,13,2048,2075.7,Left-Pallidum,101.1221,8.2185,11.0000,114.0000,103.0000
9,14,728,787.7,3rd-Ventricle,42.4217,15.1515,7.0000,86.0000,79.0000
10,15,792,904.3,4th-Ventricle,36.3106,13.3125,7.0000,77.0000,70.0000
11,16,22651,22425.9,Brain-Stem,81.9598,9.2086,22.0000,116.0000,94.0000
12,17,4935,4803.7,Left-Hippocampus,70.7755,7.3477,23.0000,100.0000,77.0000
13,18,2111,2133.9,Left-Amygdala,71.8219,6.6498,24.0000,107.0000,83.0000
14,24,817,837.2,CSF,48.5435,13.0399,11.0000,91.0000,80.0000
15,26,627,656.7,Left-Accumbens-area,78.8118,3.5650,61.0000,90.0000,29.0000
16,28,4298,4094.6,Left-VentralDC,90.4577,10.9556,31.0000,130.0000,99.0000
17,30,89,102.6,Left-vessel,55.2135,13.0432,25.0000,79.0000,54.0000
18,31,547,484.3,Left-choroid-plexus,52.8190,12.9898,21.0000,82.0000,61.0000
19,43,4179,4387.1,Right-Lateral-Ventricle,36.4958,15.5610,4.0000,86.0000,82.0000
20,44,401,448.0,Right-Inf-Lat-Vent,42.1895,15.5420,4.0000,79.0000,75.0000
21,46,14628,15142.5,Right-Cerebellum-White-Matter,84.7287,5.3189,23.0000,107.0000,84.0000
22,47,58711,58520.1,Right-Cerebellum-Cortex,66.4605,9.9264,0.0000,106.0000,106.0000
23,49,8355,7976.8,Right-Thalamus,85.5647,9.5159,22.0000,112.0000,90.0000
24,50,3552,3497.1,Right-Caudate,83.5510,8.0367,53.0000,109.0000,56.0000
25,51,5535,5608.3,Right-Putamen,89.8204,6.4922,35.0000,107.0000,72.0000
26,52,1893,1892.8,Right-Pallidum,102.2213,4.0214,78.0000,114.0000,36.0000
27,53,5622,5459.5,Right-Hippocampus,67.8814,8.4114,8.0000,100.0000,92.0000
28,54,2150,2114.4,Right-Amygdala,69.5349,7.3395,21.0000,97.0000,76.0000
29,58,659,642.2,Right-Accumbens-area,79.1093,4.9661,63.0000,98.0000,35.0000
30,60,4550,4299.3,Right-VentralDC,88.7758,11.7057,31.0000,119.0000,88.0000
31,62,68,86.6,Right-vessel,55.4853,11.6241,18.0000,72.0000,54.0000
32,63,559,529.9,Right-choroid-plexus,54.7782,10.8938,25.0000,90.0000,65.0000
33,72,0,0.0,5th-Ventricle,0.0000,0.0000,0.0000,0.0000,0.0000
34,77,1247,1212.9,WM-hypointensities,72.7474,10.1369,38.0000,103.0000,65.0000
35,78,0,0.0,Left-WM-hypointensities,0.0000,0.0000,0.0000,0.0000,0.0000
36,79,0,0.0,Right-WM-hypointensities,0.0000,0.0000,0.0000,0.0000,0.0000
37,80,0,0.0,non-WM-hypointensities,0.0000,0.0000,0.0000,0.0000,0.0000
38,81,0,0.0,Left-non-WM-hypointensities,0.0000,0.0000,0.0000,0.0000,0.0000
39,82,0,0.0,Right-non-WM-hypointensities,0.0000,0.0000,0.0000,0.0000,0.0000
40,85,190,183.8,Optic-Chiasm,79.2526,19.2213,22.0000,123.0000,101.0000
41,251,924,875.0,CC_Posterior,98.6169,13.7284,41.0000,119.0000,78.0000
42,252,578,513.4,CC_Mid_Posterior,95.3806,16.5335,39.0000,119.0000,80.0000
43,253,503,461.8,CC_Central,102.9563,15.6119,49.0000,130.0000,81.0000
44,254,639,563.6,CC_Mid_Anterior,101.8279,19.2001,20.0000,121.0000,101.0000
45,255,908,856.5,CC_Anterior,108.6421,16.1587,0.0000,141.0000,141.0000
